,A,mce3R
SRX4514127,-0.351148781,0.8966829906
SRX4514123,-0.6077986098,-1.0337655613
SRX4514115,-0.2046395511,-1.1839524953
SRX4514117,0.0743235123,0.8516673779
SRX4514113,-0.0892207066,-0.8535520598
SRX4514119,0.4390958213,0.8091237520000001
SRX958308,0.3651702281,0.9292170740000001
SRX958306,1.2833070658,0.9232406574
SRX958307,-0.3613310765,1.4600719344
SRX958313,0.049696867900000004,-0.022347488000000002
SRX958312,-0.2105127684,0.034700716300000004
SRX958314,0.1608159005,-0.0123532283
SRX958320,3.8748152447,-0.0512740566
SRX958318,3.3233416751,0.278543562
SRX958319,3.1255131096,0.3291196102
SRX958323,10.2904768627,1.454489539
SRX958322,10.7158795148,1.1584744306
SRX958321,10.44033104,1.232758499
SRX958310,-0.9883848054000001,0.1413747379
SRX958309,-0.8251577127,0.4356802536
SRX958311,-0.4854967126,0.2914809867
SRX958317,-3.6134203091,0.5890271254
SRX958315,-4.4107884838,0.7127921697
SRX958316,-4.3964164172,0.7313982261
SRX958324,-3.5051016554,1.1032691296000001
SRX958325,-3.3770849834,1.0987359049
SRX4498322,-0.43153274810000003,0.1447541384
SRX4498318,-1.7132468907,-0.2344932549
SRX4498320,-0.6212407859,0.2413301163
SRX4498316,-1.1700463286,-0.24018173010000002
SRX4498312,-0.1729310903,0.0060326902
SRX4498308,0.08688941060000001,0.0521792957
SRX4498314,0.0736817372,-0.0760147446
SRX4498310,0.0123599424,0.0178027587
SRX4498319,1.866306075,1.633086482
