,A,argR
SRX3992203,0.6608404555,0.14822733230000001
SRX3992204,-3.3254719042,-0.1752605672
SRX3992205,1.3334213161,0.6773578147
SRX3992206,-3.5704097136,-0.2833306204
SRX3992207,2.0998214175,0.9298269516000001
SRX3992209,3.471135048,0.21529571400000003
SRX3992208,1.8224124441,-0.4172296381
SRX3992212,2.2772738601,0.1409074572
SRX3992213,3.4111045302000003,0.3125684204
SRX3992210,-0.6801883887,-0.045427129600000005
SRX3992211,0.6801883887,0.045427129600000005
SRX357084,0.059498170100000004,0.1274436129
SRX357083,-0.059498170100000004,-0.1274436129
SRX4647134,-3.3771734624,-0.8596512073
SRX4647137,-0.0005719959,0.2390183895
SRX4647136,-2.9358779102,-1.0324961402
SRX4647135,-2.9398665731999998,-1.0409801069
SRX4647139,0.0070139905,0.1148948939
SRX4647141,0.0703279835,-0.1034636795
SRX4647140,-0.23483918510000001,-0.0934311302
SRX4647138,0.1574972111,0.0819999158
SRX4647128,-2.8569797488,-1.0187402252
SRX4647127,-2.9998398685,-0.9022330148000001
SRX4647129,-3.0048114177,-0.7923279564
SRX4647126,-3.1226425269,-0.9940520356
SRX4647133,-2.4693656496,-0.8069437952
SRX4647132,-3.0868761294000002,-1.1480605196
SRX4647131,-2.4613830861,-1.1828163917
SRX4647130,-2.7733243616000003,-1.4639582958
SRX6923924,0.3689743801,0.0480750127
SRX6923925,0.4012005235,0.1947188652
SRX6923923,0.21542067310000002,-0.0866999007
SRX6923922,0.08064268320000001,0.1660050482
SRX6923939,-0.220023075,0.0955787193
SRX6923938,0.220023075,-0.0955787193
SRX6923936,-0.34034994620000003,0.18873531600000001
SRX6923937,0.6402994283,0.3197753622
SRX5509428,-0.4953749323,-0.1019319169
SRX5509427,0.4953749323,0.1019319169
SRX1882560,-4.3673805685,-0.07445366860000001
SRX1882558,-4.3171688852,0.032675073
SRX1882559,-4.2355054286,0.2751017608
SRX1882561,-1.1408094913,0.7284579135
SRX1882563,-1.5212243572,0.49667881220000004
SRX1882562,-1.2200852011,0.8855696537000001
SRX1882565,-1.1846958338,0.2153902926
SRX1882566,-1.0128230248,0.4281231311
SRX1882564,-1.1034616589,0.4009318619
SRX1882568,-0.1732030863,0.8027991440000001
SRX1882567,-0.37775807780000004,0.9513712272
SRX1882569,-0.5994240835,0.7062145277
SRX1882555,0.0050855532000000005,0.1122341399
SRX1882557,-0.1376262551,-0.06499869750000001
SRX1882556,0.1325407018,-0.0472354424
SRX5088615,-7.2325926752,-1.6667707272999999
SRX5088616,-9.2934936419,-2.433242287
SRX6845150,-7.0886226011,-2.3348162743
SRX6845149,-5.1472592723,-2.0332656346
SRX6845151,0.06356693940000001,0.6205137443000001
SRX6845152,1.2231903895,0.25092362220000003
SRX6845145,-5.9290703671,-3.1849891263
