,A,mprA
SRX4506351,0.09407411160000001,-1.3055222584
SRX4506353,-0.200434996,-1.2640047979
SRX4506355,0.026872852200000002,-1.1657672396
SRX4506349,-1.851709314,-0.5161106636
SRX4506345,-2.0394089183,-0.5762316056
SRX4506347,-1.3867606442,-0.6594242103
SRX4514122,4.0794587254,0.1334634234
SRX4514124,-2.7508645444,-0.44059825080000004
SRX4514126,-2.794961085,-0.35757196760000004
SRX4514120,3.6467280253,0.2345176776
SRX4514112,3.3495088915,0.3802733
SRX4514116,-3.4999387176,-0.27890150620000004
SRX4514118,-3.7295117726,-0.33703305710000003
SRX4514114,3.8799415988,0.2356612633
SRX4514121,4.0518956314,0.1467233031
SRX4514125,-2.4295574542000002,-0.4616861224
SRX4514127,-2.4812921464,-0.5580160498
SRX4514123,4.221834523,0.15330070910000002
SRX4514115,3.8744377371,0.3123926631
SRX4514117,-3.3581842547000003,-0.4153830244
SRX4514113,3.6784457029,0.2233790356
SRX4514119,-3.5895709237,-0.3856888584
SRX958308,1.9435760426000002,0.1339135803
SRX958306,1.9515892414,0.2536696808
SRX958307,-0.2196487677,0.1180926255
SRX958313,-1.0035866719,-0.1381785193
SRX958312,-0.2328367604,0.07651075460000001
SRX958314,1.2364234323,0.0616677647
SRX958320,6.8868436665,0.5303046181000001
SRX958318,5.5878045638,0.4172768759
SRX958319,5.5889479997,0.1186451828
SRX958323,-3.4368036714,0.2604294479
SRX958322,-3.2800422333,0.6085290152
SRX958321,-3.0302654636,0.3455516839
SRX958310,0.9995159054,0.2135353767
SRX958309,1.5860525998,0.0257745069
SRX958311,1.0367890407,0.47588594440000004
SRX958317,1.018046677,0.24782248510000002
SRX958315,0.9759935927000001,0.0603139803
SRX958316,1.3057284448,0.0940228852
SRX958324,1.6126244833,0.0140418884
SRX958325,1.4856036214000001,-0.0418420518
SRX4498322,-0.2275710106,0.0095727559
SRX4498318,0.8915201285000001,0.1048799426
SRX4498320,-0.30550394880000004,0.1539269204
SRX4498316,0.318465763,-0.07119293680000001
SRX4498312,0.1323619101,-0.0271176523
SRX4498308,-0.21001757810000002,0.0008417979
SRX4498314,0.0089778711,0.0050500123
SRX4498310,0.0686777969,0.0212258421
SRX4498319,-7.3117619039,-1.1615002251
