,A,virS
SRX4605771,0.4359955139,-0.0799976213
SRX5178871,0.2540527776,-0.0614492769
SRX5178872,-0.2969034571,-0.1411520103
SRX5178868,0.6741053071,0.0045767653000000005
SRX5178870,-0.4261075936,0.2648417743
SRX5178869,-0.24799771350000002,-0.2694185396
ERX1404045,0.3744082107,0.2009825961
ERX1404046,-0.3744082107,-0.2009825961
ERX1404043,-2.1083260589,0.1878445065
ERX1404044,-0.5374146659,0.0773366474
ERX237502,-2.537667525,-0.21617346210000002
ERX237505,-1.2488229637,0.0699847816
ERX237506,-1.8042184947000002,0.32719859560000003
ERX237500,-1.3794194581,0.4813854433
ERX237497,-2.8810635108,0.6437450588
ERX237499,-0.5795198571,0.8181035462
ERX237507,-0.1659308631,-0.7163364028
ERX237496,0.2622512665,0.2805403667
ERX237504,-0.0963204034,0.4357960361
ERX3772318,-0.5665817715,0.2068392241
ERX3772320,-0.17367716960000001,0.3137934953
ERX3772319,-0.2709374812,0.3440758076
