,A,iniR
SRX4314334,11.1303583423,-0.9200664937
SRX4314333,11.0649370109,-1.1544310865
SRX4314338,10.5043413214,-1.0827036569
SRX4314336,10.8223140034,-0.9716213424000001
SRX4314337,10.6192542849,-1.0291001345
SRX4314339,8.6904335006,-0.8049490384
SRX4314340,8.5237810274,-0.8728922675
SRX4314341,8.7321951071,-0.8988295431000001
SRX3686762,-3.490787718,-0.0073977034
SRX3686763,-3.952440872,-0.0846119917
SRX3686761,-4.2020933416,-0.012889726800000001
SRX3686765,-1.1656675679,0.3199358009
SRX3686769,-1.5522260476,0.0888635904
SRX3686766,-1.7921425692000001,-0.0283391107
SRX3686768,-2.0812248208,0.0220075014
SRX3686764,-1.2646875463,0.2475113713
SRX3686767,-1.3198725850000002,0.0758223895
SRX3686788,-0.1165639167,0.1715921553
SRX3686791,0.0839837461,-0.2164755085
SRX3686792,0.3724118568,0.13761111410000001
SRX3686793,0.47857041710000003,-0.0235018521
SRX3686790,-0.5412024704,-0.0619903355
SRX3686789,-0.2771996328,-0.0072355733
SRX3686829,-3.1583867740000002,-0.4313933439
SRX3686830,-3.2051457543,-0.3240222091
SRX3686828,-2.9389448013,-0.3699617651
SRX3686819,-3.2195392032,-0.0498280102
SRX3686818,-3.1827732972,-0.026704647800000002
SRX3686817,-3.5729522061,-0.211734201
SRX3686822,0.1162122195,0.1193559835
SRX3686820,0.7709995364000001,0.14769260780000001
SRX3686821,0.11991625580000001,0.0978363416
SRX3686743,-3.1565534140000002,-0.0103258058
SRX3686744,-3.2595649152,-0.0602109221
SRX3686745,-3.1214112426,-0.0100096556
SRX3686772,-3.8834904973,-0.5333212108000001
SRX3686770,-4.4175179118,-0.6681062484
SRX3686771,-4.2879377124,-0.7084153495000001
SRX3686794,-2.2961121431000002,-0.5807651623
SRX3686796,-2.1735036889,-0.0310827203
SRX3686751,-4.8389293606,-0.1863529598
SRX3686749,-5.148384894,-0.1562046868
SRX3686750,-4.8088690186,-0.21175372380000002
SRX3686778,-3.8536170129,-0.1644462932
SRX3686777,-4.050533252,-0.3291671608
SRX3686776,-4.4383570414,-0.5368472797
SRX3686800,-2.74007136,-0.0260803793
SRX3686801,-2.4419664983000002,-0.0274464767
SRX3686755,-7.8350873099000005,-0.42811211590000003
SRX3686757,-5.4912959396,-0.5221276824000001
SRX3686756,-6.0703716186,-0.1957852183
