,A,ideR
SRX4647134,-2.5731587042,0.7997331727
SRX4647137,-0.1061059891,0.0793389485
SRX4647136,-2.0944318104,0.7413494158
SRX4647135,-2.4312968322,0.7184151644
SRX4647139,-0.121914769,-0.0295814623
SRX4647141,0.397670462,0.0864263294
SRX4647140,0.0524537792,-0.0194084655
SRX4647138,-0.3282094722,-0.037436401700000004
SRX4647128,1.1031114394000001,0.4122584871
SRX4647127,1.0422459171,0.44780808040000003
SRX4647129,1.1896978124,0.41051122560000003
SRX4647126,1.0871595456,0.4239115128
SRX4647133,-2.374363206,0.5587166176
SRX4647132,-2.5438208217,0.5160266997
SRX4647131,-2.4808188315,0.5739738630000001
SRX4647130,-3.082053078,0.5801613016
SRX6923924,0.679125065,-1.3571125313
SRX6923925,1.441723954,-1.1512309828
SRX6923923,3.3861341961,-0.7583088572000001
SRX6923922,2.999190595,-1.0892666615
SRX6923939,0.09376661630000001,-0.0397910568
SRX6923938,-0.09376661630000001,0.0397910568
SRX6923936,2.1871740462,0.3596967612
SRX6923937,2.118065935,0.3790004621
SRX5509428,-0.2754644161,0.1038439144
SRX5509427,0.2754644161,-0.1038439144
SRX1882560,6.8265821754000005,-1.7709680524
SRX1882558,7.0146722593,-1.733634424
SRX1882559,6.9010083897,-1.7911877699
SRX1882561,1.9032185429,-1.8575377786
SRX1882563,2.0125868714,-1.9260036452
SRX1882562,1.9249892715999999,-1.9292571776
SRX1882565,2.6908508443,-1.8848807314
SRX1882566,2.6167127672,-1.9185490131
SRX1882564,2.3050684184,-1.8428944446000002
SRX1882568,3.0749348462,-1.9742016008
SRX1882567,3.2264662018,-2.0394333873
SRX1882569,3.1288543119,-2.0371308549
SRX1882555,0.006308058,0.0007229408
SRX1882557,-0.19038113780000002,-0.0022082132
SRX1882556,0.1840730798,0.0014852724
SRX5088615,7.1994318867,0.0803909762
SRX5088616,1.5685161879,-0.101909417
SRX6845150,-4.1815280327,0.2683204662
SRX6845149,-3.0231576376,0.1228194393
SRX6845151,1.6184063846,-0.10688567800000001
SRX6845152,-0.6100881908,0.1295551924
SRX6845145,-3.3425862119,-0.0385329561
SRX6845146,-4.3324250563,-0.12300532950000001
SRX6845142,-4.0274707902,0.48686378010000003
SRX6845141,-3.2801405166,0.3588913791
SRX6845144,-1.1244345657,0.1500562553
SRX6845143,1.1244345657,-0.1500562553
SRX5605051,0.1070576578,0.016477726
SRX5605045,-0.1070576578,-0.016477726
SRX5605060,-0.1355440645,0.30252561170000003
SRX5605059,0.5160135619,0.5302412828
SRX2382017,0.1719079762,-0.055389716500000005
SRX2382024,-0.1719079762,0.055389716500000005
SRX2382027,-1.5200310235,-0.0695304015
SRX2382029,-1.2580993888,-0.0485698563
SRX2382217,-0.9901903961,-0.1514734391
SRX2382023,-0.5384997562,-0.1138016953
SRX2382218,2.5612103977,-0.1389353491
SRX2382219,0.5886259941,-0.0887860624
SRX2382213,-1.6032323745000001,0.020309083500000002
SRX2382019,-1.9763274774,0.0870616649
SRX2382214,0.7172045778,0.0587737365
SRX2382215,0.155894735,0.045103445400000004
SRX2382020,1.0972083242,0.0823357088
SRX2382216,1.3521844565,0.0454875194
SRX2382022,-0.029494414400000002,0.176437479
SRX2382033,-0.0549551821,0.1580436935
SRX2382220,2.9346858814,-0.7017124818
SRX2382222,3.0329270563,-0.7876316516
SRX2382030,2.8418003897,-0.3097381681
SRX4506350,-0.4530470588,-0.1186263314
SRX4506352,-0.1442112887,-0.0417989413
SRX4506354,-0.028734204000000003,-0.0535482029
SRX4506348,0.010098315600000001,0.017550271000000003
SRX4506346,0.0064080635,0.0071984287000000004
SRX4506344,-0.0165063791,-0.0247486997
SRX4506351,1.2243693916,-0.7102312714
SRX4506353,1.05840731,-0.643980675
SRX4506355,1.2943208222,-0.6418300637000001
SRX4506349,3.9547407615,-0.3327731595
SRX4506345,3.9769253239,-0.3915456305
SRX4506347,3.7197733621999998,-0.3852560687
SRX4514122,-1.115767141,-0.2358146516
SRX4514124,0.715701212,0.035503386500000005
SRX4514126,0.6747524523,0.0095255687
SRX4514120,-0.7652319251,-0.0923114414
SRX4514112,-1.2440946413,0.0148213625
SRX4514116,1.0476322914,0.042034629500000004
SRX4514118,1.143561797,0.0020807307
SRX4514114,-0.9470994471,-0.0589367227
SRX4514121,-1.1364484092,-0.25162649060000003
SRX4514125,0.6748680291,0.0477666249
SRX4514127,0.6070494012000001,-0.021128284900000002
SRX4514123,-1.2222078377,-0.2668355388
SRX4514115,-0.9478719940000001,-0.0480712559
SRX4514117,0.9335316720000001,0.0638287033
SRX4514113,-1.0868681997,-0.0857846867
SRX4514119,1.2425389309,-0.0469804892
SRX958308,-0.4514997858,0.6338500991
SRX958306,0.16292941390000001,0.5463190129000001
SRX958307,-2.6007241462,0.5702871585
SRX958313,0.5320274014,-0.056290824100000005
SRX958312,-0.7065844472,-0.0149423786
SRX958314,0.1745570458,0.0712332027
SRX958320,32.7470076611,0.8648706261
SRX958318,32.668607134,0.6317734467
SRX958319,32.2063788638,0.5598571815
SRX958323,30.2334962079,1.2875682776000001
SRX958322,30.6716945621,1.4290377957
SRX958321,30.6599346497,1.4325846848000001
SRX958310,0.1285555709,0.6569144522
SRX958309,0.8077795555,0.4437802156
SRX958311,0.0095398433,0.698809303
SRX958317,1.4174262102,0.3561636908
SRX958315,0.8262598174,0.2432372828
SRX958316,1.3222283338,0.36343134520000003
SRX958324,7.9018121762,0.3321201983
SRX958325,8.0870510224,0.39674127330000003
SRX4498322,0.009055771,-0.0790633094
SRX4498318,-0.0747495069,-0.0079281924
SRX4498320,-0.2328378533,0.0595403979
SRX4498316,-0.3445666194,-0.0816214292
SRX4498312,0.0821699519,-0.0304315712
SRX4498308,0.07774794310000001,0.0008533362000000001
SRX4498314,-0.2676616349,0.014702246
SRX4498310,0.10774374,0.0148759891
SRX4498319,-4.4408429086,0.0515086775
SRX4498317,-4.2658981895,0.0426330838
SRX4498311,1.4075761103,-0.5135245156
SRX4498315,1.3903101896,-0.5210062590000001
