,A,blaI
SRX3686744,1.1035932226,-1.5178296218
SRX3686745,1.6555439995999999,-1.3701929805
SRX3686772,0.3344883228,-1.8166116847
SRX3686770,0.9002969615,-1.8044745662000001
SRX3686771,0.042851629200000005,-1.9252629343
SRX3686794,-0.4313851837,-0.6028294238
SRX3686796,-0.6058966452,-0.36140932870000003
SRX3686751,1.5490650362,-1.4534630775
SRX3686749,3.1061160232,-1.0687590584
SRX3686750,0.9172872405,-1.5410768522
SRX3686778,-0.9884782864,-1.5366117069
SRX3686777,0.1428823398,-1.5561111352
SRX3686776,0.2704398283,-1.7217367254
SRX3686800,0.0582238184,-0.5281463689
SRX3686801,-0.36408807130000004,-0.6656609743
SRX3686755,6.2774924728,-0.2621499145
SRX3686757,4.6883898213,-0.5776617037
SRX3686756,3.6124978849,-0.7192208721000001
SRX3686784,-0.16002373220000002,-1.5312618617
SRX3686783,0.785639661,-1.6755170883
SRX3686782,1.1397232943,-1.6858441889
SRX3686809,0.8527429869,-0.4740801906
SRX3686807,1.1599354282,-0.5483713128000001
SRX3686808,0.2681553327,-0.6611111957
SRX3686787,0.6946095081,0.24808576070000002
SRX3686786,1.074804049,-0.0612221087
SRX3686785,1.1529211432,-0.2016991346
SRX3686799,-0.7477194132,0.1710623775
SRX3686797,-0.3873089021,0.1965887747
SRX3686798,-0.8088134089,0.2163143978
SRX3686746,0.22555597870000002,-1.1740192492000001
SRX3686748,0.5962082696000001,-0.9163441839
SRX3686747,0.0484649936,-1.1661470713
SRX3686773,0.0032080768,-1.0157944837
SRX3686774,-1.3447283343,-1.2691302615
SRX3686775,-1.7785257518000002,-1.1806959971
SRX3686754,0.4903456986,-0.7503267370000001
SRX3686753,-0.25428581100000003,-0.8336337215
SRX3686752,0.2941448584,-0.8577444432
SRX3686780,-0.635351815,-0.4639116285
SRX3686779,-1.059348507,-0.6524306179
SRX3686781,-1.3675053634,-0.4791054709
SRX3686806,-0.6292632798000001,0.1685449731
SRX3686805,-0.41049310580000004,0.2762371561
SRX3686758,1.1955855074,-0.28459937900000004
SRX3686760,1.4995849369,-0.2928275238
SRX3686759,1.7036668621,-0.1893295604
SRX3686810,0.8200332715,0.3845721453
SRX3686811,-0.3578337974,0.3644621988
SRX3686812,-0.0780903568,0.4626747312
SRX3686813,0.8654184180000001,-1.6219365993000001
SRX3686815,1.123625833,0.5123920324
SRX3686816,0.9831987496000001,0.4718643048
SRX3686823,1.1962292602,-1.4953654608
SRX3686824,0.2038831043,-1.4873542797
SRX3686825,0.1928957061,-0.0745010069
SRX3686827,0.59793065,0.0687130297
SRX3686826,1.0796195637000001,0.0943723809
SRX7054191,0.5508857646,-0.0794322735
SRX7054189,0.0540504307,0.1107572946
SRX7054190,-0.6049361953,-0.0313250211
SRX7054193,-2.1103446328,0.0995790159
SRX7054192,-2.5544394669,0.0917329045
SRX7054194,-2.5735328712000003,0.1853920124
SRX4506284,0.222287215,-0.20810494710000002
SRX4506280,-0.0149702162,-0.1979270988
SRX4506282,0.0240789124,-0.1792886287
SRX4506278,0.1562037898,-0.1032091764
SRX4506274,-0.2154799831,-0.0611769693
SRX4506273,0.2206260457,0.0379063365
SRX4506271,0.043390201100000005,0.028339048300000003
SRX4506276,-0.048536263600000004,-0.0050684154
SRX4506283,-0.9985211564,0.6744230471
SRX4506279,-1.0520342842,0.5794119578
SRX4506285,-0.7799303379,0.631097895
SRX4506281,-0.9082449772000001,0.620340817
SRX4506275,1.6021456924000002,0.1430532454
SRX4506277,1.4607898072,0.2984017453
SRX4506272,1.4823635036,0.2751004911
SRX2923393,-0.5381178099,-0.1404263593
SRX2923394,0.5381178099,0.1404263593
SRX2923398,-3.8068638363,-1.1746432475
SRX2923397,0.3255548198,-0.5501961816000001
SRX2923395,-18.6160764282,-1.5462114864
SRX2923396,-18.6160234142,-1.7240386226000002
SRX2923400,2.6074338223,0.1419950173
SRX2923401,2.1583027296,0.33255745870000003
SRX2923403,-14.0577499946,-0.5877400179
SRX2923402,-14.7978958699,-0.566218675
SRX6853288,-0.3623102022,0.048426994300000005
SRX6853287,-1.0297241321,0.23817916290000002
SRX6853286,-1.5764612781,0.20022907780000002
SRX6853284,-0.0465883811,0.0368905746
SRX6853285,0.713707827,0.061841328300000005
SRX6853283,-0.6671194459,-0.0987319029
SRX4319040,0.2080199542,-0.0278113132
SRX4319041,0.1980312032,-0.004867475400000001
SRX4319039,-0.40605115740000003,0.0326787885
SRX4314613,-5.2135795893,-0.8519940299000001
SRX4314614,-4.2304656239,-0.7936305911
SRX4314615,-4.1565565691,-1.0785232257
SRX4314632,-10.1306312984,-1.4479774007000001
SRX4314631,-10.5387253923,-1.1571904024
SRX4314633,-10.7357821807,-1.2008345469
SRX4314622,-5.9085502145,-1.4353172528
SRX4314623,-6.0878616306,-1.4506223667
SRX4314624,-6.3429813873,-1.2468567695
SRX4314611,0.3489255416,-0.1249028513
SRX4314610,-0.0716351441,0.0356500125
SRX4314612,-0.2772903975,0.0892528388
SRX4314630,-5.8417641848,-0.4031674984
SRX4314628,-6.4275318882,-0.3655674573
SRX4314629,-5.8281599004,-0.4260399354
SRX4314619,-5.1319590867,-0.36188368670000004
SRX4314621,-4.7850976658,-0.5483188236000001
SRX4314620,-5.4454333817,-0.5483268544000001
SRX7119390,0.9352436106,0.123611702
SRX7119388,-0.9352436106,-0.123611702
SRX7119386,-6.7698859898,1.0948371528
SRX7119385,-7.4181898791,1.1620135034
SRX7119387,-8.0073871835,0.9868630334
SRX3746749,-2.6022640346,0.3615048818
SRX3746748,-2.5131018512,0.4582138529
SRX3746751,1.0152817755,-1.0182019246
SRX3746750,0.5085188056000001,0.0224500223
SRX3746752,0.5216332802,0.3710358461
SRX3746753,0.4406392948,-0.3438871103
SRX3746755,-0.2897630202,-0.22766685700000003
SRX3746754,0.2897630202,0.22766685700000003
SRX2345943,-0.2008836037,-0.07155799210000001
SRX2345942,0.2008836037,0.07155799210000001
SRX2345941,-4.4185728218,0.6573586092
SRX2345940,-5.8485806053000005,0.2871316874
SRX3992217,-0.8421719520000001,0.053558635300000004
SRX3992216,0.6339494214,0.1020850641
SRX3992214,-12.2385898445,-2.1114404851
SRX3992215,-10.5991255203,-1.621051295
SRX3992221,-9.5804429834,-1.7809182726000001
SRX3992220,-12.4371310085,-2.1678619885
SRX3992219,-7.8113320778,-1.2648920997
SRX3992218,-8.64858106,-1.4790503814
SRX3992201,-8.2100476167,-1.4906260937
SRX3992200,-8.4832524643,-1.1670412940000001
SRX3992198,-1.1966471911,0.1369515541
SRX3992199,0.3060083726,0.0834501302
SRX3992202,0.9768473988,0.1839821798
SRX3992203,-0.7215015859,0.034701492300000004
SRX3992204,-11.9031572854,-1.8089765443
SRX3992205,-11.6454891931,-1.0604409403
SRX3992206,-11.8919446722,-1.7889863886000001
SRX3992207,-11.3425828266,-1.135554139
SRX3992209,-8.9161097748,-0.7785387507
SRX3992208,-8.5433246022,-0.9685925307000001
SRX3992212,-8.8265816596,-0.9110339166
SRX3992213,-8.7534714977,-0.8071613815
SRX3992210,0.4470561706,0.0388661837
SRX3992211,-0.4470561706,-0.0388661837
SRX357084,-0.0957199442,-0.0531957619
SRX357083,0.0957199442,0.0531957619
SRX4647134,1.5835668604,0.6253832833
SRX4647137,0.4320947781,0.009211956
SRX4647136,1.2795975165,0.7517729881
SRX4647135,1.3871538086,0.6094408562
SRX4647139,0.0040483271000000005,-0.0090371683
SRX4647141,-0.0472060412,-0.012136586500000001
SRX4647140,-0.060627526200000004,0.0416982642
SRX4647138,0.1037852403,-0.0205245094
SRX4647128,-0.023882369400000002,-0.0787153393
SRX4647127,-0.0434645246,-0.0024268497000000003
SRX4647129,-0.46030902640000004,-0.17229724100000002
SRX4647126,0.0286260261,-0.0627616519
SRX4647133,-2.1811601049,-0.2686894602
SRX4647132,-2.1491017791,-0.4944619065
SRX4647131,-2.1643222805,-0.4665869057
SRX4647130,-2.1375696267,-0.3980380787
SRX6923924,2.3611057798,-0.8353655304000001
SRX6923925,1.6028323247,-1.1252862229
SRX6923923,2.5473839015,-1.8222863671
SRX6923922,2.9209932999,-1.9921954306
SRX6923939,0.014946224900000001,-0.0908490604
SRX6923938,-0.014946224900000001,0.0908490604
SRX6923936,1.3902772097,-0.2513387157
SRX6923937,1.3685819765,-0.2255501863
SRX5509428,0.0826980105,-0.12759931160000001
SRX5509427,-0.0826980105,0.12759931160000001
SRX1882560,-4.0505829438,-2.168892969
SRX1882558,-3.9591081078,-2.213767032
SRX1882559,-4.0186973411,-2.1556544977
SRX1882561,-3.5318684435,-2.5509432294
SRX1882563,-3.6470442032,-2.5931097849
SRX1882562,-3.3038696924,-2.5214376953
SRX1882565,-2.7800211964,-2.3860291743
SRX1882566,-2.811929358,-2.2927109355
SRX1882564,-2.6692485561,-2.4522972225
SRX1882568,-1.8992398095,-2.0654752443
SRX1882567,-1.8902534267000002,-2.1294115841
SRX1882569,-1.8815526683,-1.9750858182000002
SRX1882555,-0.1276756292,-0.043463513700000005
SRX1882557,0.1062410397,0.0576570423
SRX1882556,0.0214345895,-0.0141935285
SRX5088615,-11.3692034431,0.2796695718
SRX5088616,-10.694158936600001,0.5678789068
SRX6845150,-8.6802418599,1.3564700174
SRX6845149,-9.0728358215,1.6804566172
SRX6845151,-0.014013008200000001,-0.2227566128
SRX6845152,-3.0271639029,0.20489949870000002
SRX6845145,-11.2299460933,1.5607388542
SRX6845146,-12.3033870737,1.335060006
SRX6845142,-3.5190914029,0.1909841629
SRX6845141,-3.4045507514,-0.021986663400000002
SRX6845144,0.7016031402,0.265195756
SRX6845143,-0.7016031402,-0.265195756
SRX5605051,-0.07047870540000001,-0.0161061165
SRX5605045,0.07047870540000001,0.0161061165
SRX5605060,3.5552079338,-0.3915689341
SRX5605059,3.4894077307,-0.0198568593
SRX2382017,0.26189152450000003,-0.0006733263
SRX2382024,-0.26189152450000003,0.0006733263
SRX2382027,-5.0779442514,-1.0240040652
SRX2382029,-4.6753670071,-1.0708636862
SRX2382217,-3.0306304302,-0.6101675947
SRX2382023,-4.9829713459,-0.7337305755
SRX2382218,-5.0140146343,-0.1413739759
SRX2382219,-3.9058446697,-0.6245228732
SRX2382213,-2.3872700357,-0.4896008733
SRX2382019,-3.5602060576,-0.6915973022
SRX2382214,-7.0543885096,-0.6699360595
SRX2382215,-6.8376256948,-0.45537841040000004
SRX2382020,-2.3794964005,0.0833768894
SRX2382216,-7.8622145641,-0.5963416727
SRX2382022,1.7948688456,0.1933744231
SRX2382033,1.2284057903,0.39736980980000003
SRX2382220,-12.9472751924,-0.7598589024
SRX2382222,-12.8488515919,-0.7820468384
SRX2382030,-12.9959192736,-0.7991829937
SRX4506350,-0.5578894716,0.032869402
SRX4506352,-0.3163681457,-0.0439406165
SRX4506354,-0.263372466,0.0520109018
SRX4506348,-0.022736768600000002,0.015255146700000001
SRX4506346,-0.0439104426,0.0231675224
SRX4506344,0.0666472112,-0.0384226691
SRX4506351,-4.018346438,-0.8005441790000001
SRX4506353,-3.8843000698,-0.8856967137
SRX4506355,-3.9849832624,-0.8984361540000001
SRX4506349,-0.5147177779000001,-0.3794571829
SRX4506345,-0.3518689242,-0.3507872704
SRX4506347,-0.5240725341,-0.47420572320000004
SRX4514122,-0.1467804799,0.1629929914
SRX4514124,-2.2508642881,-0.4765846962
SRX4514126,-2.0994465513,-0.46943051820000004
SRX4514120,-0.9221412647,0.2199609784
SRX4514112,0.2883113133,0.4371160633
SRX4514116,0.0758876674,-0.41995816210000003
SRX4514118,-0.1388722792,-0.2987369046
SRX4514114,-0.2253267015,0.2815790034
SRX4514121,-0.0854697445,0.2091494156
SRX4514125,-1.9925633368,-0.40281941330000004
SRX4514127,-2.198528869,-0.4429673579
SRX4514123,-0.3910846074,0.1776723259
SRX4514115,-0.0399225749,0.35277936060000004
SRX4514117,-0.2022991302,-0.4086088751
SRX4514113,-0.0800997678,0.2732016109
SRX4514119,-0.1319166614,-0.41862804670000003
SRX958308,3.2346468369,0.9288700085
SRX958306,5.6303237346,1.4666796259
SRX958307,4.1796108853,0.9558146891
SRX958313,-0.0195876874,-0.063800539
SRX958312,-1.5759338685,-0.236097824
SRX958314,1.5955215559,0.299898363
SRX958320,-1.1747668059,0.1280973584
SRX958318,-1.6114170557,-0.2766020617
SRX958319,-1.6355522932,-0.23790404880000002
SRX958323,1.6830970224000001,0.2601002369
SRX958322,1.3922507894,0.1676170588
SRX958321,0.6966055882000001,0.0676833517
SRX958310,0.28017139080000003,0.5433006404
SRX958309,0.4205424481,0.3321935891
SRX958311,0.07846113040000001,0.563253179
SRX958317,-0.2172811661,-0.1160748233
SRX958315,-0.1796084494,-0.1177987655
SRX958316,-0.1927958507,-0.1172205828
SRX958324,7.2653895751,1.1776974294
SRX958325,7.3202882117,1.1818636152
SRX4498322,0.14949364340000001,-0.0217600083
