,A,kstR2
SRX4314334,-6.6177523192,-0.49528122900000005
SRX4314333,-6.5329527546,-0.5603540465
SRX4314338,-8.1468876312,-0.4274367459
SRX4314336,-7.866216961,-0.2827656767
SRX4314337,-7.8548167395,-0.3685084504
SRX4314339,-10.2004076381,-0.7038279752000001
SRX4314340,-10.1804029554,-0.5666784886
SRX4314341,-10.145973581,-0.5015965137
SRX3686762,-7.8024055563,-1.4449820137
SRX3686763,-7.9706033025,-1.3087086798
SRX3686761,-8.1461616444,-1.6904314957
SRX3686765,-1.91045413,-0.1687366783
SRX3686769,-2.3520211546,-0.2989176323
SRX3686766,-2.8950509043,-0.1125782223
SRX3686768,-2.7099359874,-0.1394370531
SRX3686764,-2.2323466033,-0.2150887504
SRX3686767,-2.0188470589,-0.0141593494
SRX3686788,-0.3581263767,0.0153439629
SRX3686791,0.2642436636,-0.2423995306
SRX3686792,0.2116058592,0.0233917592
SRX3686793,0.8305372762000001,0.277426583
SRX3686790,0.0411054842,0.1600036934
SRX3686789,-0.9893659064,-0.23376646780000002
SRX3686829,-3.9606590689,-0.4568232304
SRX3686830,-3.0524858027,-0.264255672
SRX3686828,-3.5394703899,-0.46522149620000003
SRX3686819,-3.4411706305,-0.8247424391
SRX3686818,-3.4266618492,-0.6901798306
SRX3686817,-4.0225055985000004,-0.7710368824
SRX3686822,-7.3172001429,-0.9075979316
SRX3686820,-6.4433883725,-0.9413921236
SRX3686821,-7.1979797471,-1.0146992912
SRX3686743,-7.8314509261000005,-1.6506911735
SRX3686744,-8.191475448,-1.7958724154999999
SRX3686745,-8.0120291674,-1.7901478934
SRX3686772,-8.4080685875,-1.3618740163
SRX3686770,-8.404681731,-1.5905656336
SRX3686771,-8.2628067398,-1.4225799142
SRX3686794,-5.0638224321,-0.9283092038
SRX3686796,-3.5167404691,-0.6822535566
SRX3686751,-8.4461450018,-1.7237094204
SRX3686749,-7.7376111951,-1.4479739698
SRX3686750,-8.3534510291,-1.8720869121
SRX3686778,-7.9707594921,-1.6748500955
SRX3686777,-8.2517767958,-1.5273239703
SRX3686776,-8.6129375517,-1.7176355662
SRX3686800,-3.9822332237999998,-0.7925108037
SRX3686801,-3.8782418208,-0.7117781710000001
SRX3686755,-5.6537157102,-1.7078793037
SRX3686757,-7.3887506755,-1.7992917749
SRX3686756,-7.5244221488,-1.6798898606
SRX3686784,-8.3084172079,-1.8499335377000001
SRX3686783,-8.1901553651,-1.8574622586
SRX3686782,-7.7174401086,-1.7407612168000002
SRX3686809,-3.1652625945,-0.4873521756
SRX3686807,-3.5607793553000002,-0.6314358119
SRX3686808,-3.8271014237000003,-0.7179986946
SRX3686787,-7.4854126903000004,-1.4379870354
SRX3686786,-7.7852567706,-1.4996969012
SRX3686785,-8.0348576135,-1.7768436518000001
SRX3686799,-2.9384989913,-0.4369781851
SRX3686797,-3.1011806474,-0.4573908445
SRX3686798,-3.5612287827999998,-0.5516480751
SRX3686746,-8.3211055597,-1.6466775239
SRX3686748,-7.9296366766,-1.4360558239
SRX3686747,-8.6488711156,-1.5361902123
SRX3686773,-8.6719139676,-1.4525048297
SRX3686774,-9.0884060971,-1.2982764286
SRX3686775,-8.4697191707,-1.366166284
SRX3686754,-8.082861118,-1.634573203
SRX3686753,-8.2128235659,-1.5575790757
SRX3686752,-8.1279117951,-1.6332070842
SRX3686780,-7.1451934497,-1.3770794459
SRX3686779,-8.4754747601,-1.4791307624
SRX3686781,-6.9900488959,-1.459431504
SRX3686806,-3.3609844395,-0.52766729
SRX3686805,-3.4017821338,-0.5333541912
SRX3686758,-7.1998650034,-1.6565803646
SRX3686760,-7.3491034418,-1.7115264247000002
SRX3686759,-6.874085799,-1.6574768068
SRX3686810,-4.7769006397,-0.7713003986
SRX3686811,-4.713637043,-0.7150111642
SRX3686812,-4.0905530136,-0.7286793613
SRX3686813,-8.4680054189,-1.5265236290000002
SRX3686815,-4.3186321221,-0.6097738289
SRX3686816,-3.8909962437,-0.8165148073
SRX3686823,-7.8554850263,-1.4188025323
SRX3686824,-7.2891580517,-0.9750601206
SRX3686825,-7.463346172,-1.051659117
SRX3686827,-6.2360856759,-0.8011849195
SRX3686826,-6.5027782499,-0.8898845054000001
SRX7054191,-1.3926117781,-0.1812781101
SRX7054189,0.0458076565,-0.0389180982
SRX7054190,1.3468041216,0.2201962084
SRX7054193,3.3115229544,1.212719088
SRX7054192,4.2166159091,1.476579234
SRX7054194,4.3366279376,1.7232196338999999
SRX4506284,-1.9556589581,-0.5565594479
SRX4506280,-2.4207797463,-0.4321409695
SRX4506282,-2.5864747061,-0.4303155638
SRX4506278,-2.8148037319,-0.9608120742
SRX4506274,0.2374804993,-0.0163508126
SRX4506273,-0.11601920880000001,0.07032746420000001
SRX4506271,0.10244938070000001,0.12543763600000002
SRX4506276,-0.2239106711,-0.17941428750000002
SRX4506283,-0.49131534790000003,0.2391103383
SRX4506279,-0.7245100475,0.0955984916
SRX4506285,-0.3592240265,0.060571946800000005
SRX4506281,-0.17865388740000002,0.17238730160000001
SRX4506275,1.3800048875,-0.08796975650000001
SRX4506277,1.1637650809,-0.0988808015
SRX4506272,1.6237804472000001,0.0097605747
SRX2923393,0.2664524556,0.0377568857
SRX2923394,-0.2664524556,-0.0377568857
SRX2923398,1.767515897,0.46908517600000005
SRX2923397,1.0991119263,0.28030149190000003
SRX2923395,1.478350456,0.21488802040000002
SRX2923396,1.6122845424,0.1481563437
SRX2923400,-2.3857927921,-2.4323134022
SRX2923401,-2.1772185192,-2.4552800945
SRX2923403,2.6532234751,-0.2422477218
SRX2923402,3.3256420253,-0.458579165
SRX6853288,-1.1355501467,-0.0378366978
SRX6853287,0.392105794,0.3303448583
SRX6853286,0.13029279030000002,0.0306388351
SRX6853284,0.290367682,0.0958000615
SRX6853285,-0.8129078127,-0.0318364466
SRX6853283,0.5225401307,-0.06396361490000001
SRX4319040,-0.0592403361,-0.048718675100000004
SRX4319041,-0.35737618060000004,-0.008687719
SRX4319039,0.4166165167,0.0574063941
SRX4314613,15.7921868979,2.3482962331
SRX4314614,10.8362692572,1.6009051445
SRX4314615,14.8296601369,2.3447376584
SRX4314632,9.4896709063,1.5625355467
SRX4314631,9.7102391224,0.9475379392000001
SRX4314633,10.8033778142,1.9241870253000002
