,A,devR
SRX2382024,-3.5868101082,-0.4031240856
SRX2382027,-7.1020180019,-0.1551416422
SRX2382029,-8.0201352753,-0.3240989506
SRX2382217,-9.1676464026,-0.2193616169
SRX2382023,-9.8262891049,-0.6038031914
SRX2382218,-6.3284058791,-0.23064268940000002
SRX2382219,-9.7542256958,-0.6867707301
SRX2382213,-11.8434763561,-0.2092317561
SRX2382019,-7.9542722754,-0.0333694702
SRX2382214,-6.5073503194,-0.1633422535
SRX2382215,-7.1506018389,-0.2409768301
SRX2382020,-0.21608176980000002,-0.20204704380000002
SRX2382216,-4.701941486,-0.6918836714000001
SRX2382022,-6.9521092721,-0.2044633794
SRX2382033,-5.1068374473,-0.0988851513
SRX2382220,1.0561542194,-0.4320161873
SRX2382222,0.2269431279,-0.2355538398
SRX2382030,0.1894436883,-0.3508409529
SRX4506350,0.1568611499,0.0622265584
SRX4506352,0.1647654353,-0.020916525300000002
SRX4506354,0.6226852787,-0.043024929100000005
SRX4506348,-0.1451901261,-0.0037094281000000003
SRX4506346,0.0307945154,0.0011543182
SRX4506344,0.11439561070000001,0.0025551098
SRX4506351,0.6971695141,-0.15807468460000001
SRX4506353,0.2964483542,-0.2535966834
SRX4506355,0.34906097080000004,-0.32334233700000004
SRX4506349,0.49188232400000004,-0.3022474235
SRX4506345,-0.0309553859,-0.2565402012
SRX4506347,-0.20321572940000002,-0.2863634195
SRX4514122,-0.2133475052,-0.3970275434
SRX4514124,-0.1712091288,0.3470840726
SRX4514126,-0.5861033624,0.31656951
SRX4514120,0.7833651393000001,-0.1810457853
SRX4514112,-0.1080133278,-0.2416577791
SRX4514116,0.2176634704,0.30507776740000003
SRX4514118,0.3305365927,0.3603722372
SRX4514114,-0.4401867353,-0.4237922254
SRX4514121,-0.2624754052,-0.4497331419
SRX4514125,-0.0391254958,0.25159001140000004
SRX4514127,-0.0703104854,0.2066694134
SRX4514123,-0.2980602639,-0.3380905377
SRX4514115,-0.302209693,-0.4901185682
SRX4514117,0.0716063547,0.2902749867
SRX4514113,-0.5378943894,-0.1719204574
SRX4514119,0.2587901805,0.3178340062
SRX958308,-1.4606146175,-0.159012923
SRX958306,-0.7246756919,0.0063043684000000004
SRX958307,-0.32351863750000004,-0.006257111
SRX958313,-0.7386356378000001,-0.2403561515
SRX958312,-3.5469453864,-0.9508591986
SRX958314,4.2855810242,1.1912153501
SRX958320,-32.7195644539,-2.4615622090000002
SRX958318,-33.9978885773,-2.2751767595
SRX958319,-29.6215203098,-2.3539403134
SRX958323,-1.6838526882,0.2668732763
SRX958322,-5.4795458228000005,-0.4293743712
SRX958321,-9.0810953319,-0.6823986283
SRX958310,-8.287025241,-1.699718394
SRX958309,-19.4500410112,-2.4378468453
SRX958311,-8.6025131977,-1.6188181754
SRX958317,-24.0508921892,-1.936227133
SRX958315,-29.1055782102,-2.3722476854
SRX958316,-27.1519954089,-2.3590744854
SRX958324,-26.5664264677,-2.624264406
SRX958325,-26.8015001068,-2.4406192924
SRX4498322,0.9035642223,0.16546341720000002
SRX4498318,-0.8961036412000001,-0.2326193051
SRX4498320,0.0322199602,-0.010215176000000001
SRX4498316,0.44981794270000003,-0.1221546404
SRX4498312,0.1863819608,0.0382288082
SRX4498308,-0.1698137136,0.0316644051
SRX4498314,-0.1940276934,-0.10294230280000001
SRX4498310,0.17745944630000002,0.0330490894
SRX4498319,3.7928553282,-1.292861259
SRX4498317,3.6612440384,-1.9036474959
SRX4498311,-0.3331265136,0.22964492190000002
SRX4498315,0.1361051919,0.3847287131
SRX4498309,-0.2498135937,0.2117238799
SRX4498313,-0.4722495638,0.2955688949
SRX4615568,-1.6094712632000001,0.36385978210000003
