,A,Rv1776c,whiB4
SRX5178869,0.1906947039,-0.0486503615,-0.0669457651
ERX1404045,0.1199467245,0.46432043230000003,-0.1624999581
ERX1404046,-0.1199467245,-0.46432043230000003,0.1624999581
ERX1404043,1.207462454,0.0827750114,-0.0027345818
ERX1404044,0.1913836093,0.2235553445,0.1432227371
ERX237502,-3.8512496417,-1.7132051095,-1.3867082205
ERX237505,-2.8007100141,-1.2210039214,-0.8893328454
ERX237506,-3.3398846984,-1.890012934,-1.151109155
ERX237500,-2.2458334069,-2.1842456642,-2.2441226907
ERX237497,-0.5319462028,-2.0871051774,-2.0139341664
ERX237499,0.2577239637,-1.3249651031,-1.8670279551000002
ERX237507,0.0683091411,0.0725292661,0.008773927
ERX237496,-0.440742067,-0.033254730100000005,0.08209850710000001
ERX237504,0.372432926,-0.0392745361,-0.09087243410000001
ERX3772318,0.0240527219,0.216775926,0.2538834378
ERX3772320,0.0951010464,0.24790920500000002,0.1676943443
ERX3772319,-0.0551854466,0.1326901566,0.155062751
ERX3772321,0.48220872210000004,-0.2654003304,-0.0167379306
ERX3772322,0.2248286636,-0.3042678499,-0.17248190970000002
ERX3772323,-0.7070373857000001,0.5696681803,0.1892198403
SRX4314262,0.1947090552,-0.4499981018,0.0798797489
SRX4314263,0.7218976242,-0.0715311566,-0.18949924810000002
SRX4314261,-0.9166066794000001,0.5215292584,0.1096194992
SRX4314265,2.0109527134,-0.425176912,-0.07351954000000001
SRX4314266,1.2748188939,0.2214463996,-0.19674752610000001
SRX4314264,2.6692864618,-0.6923330937000001,-0.24615058080000002
SRX4314268,3.7980345447,-1.3895270172,-0.132420661
SRX4314267,3.9243990863000002,-0.5845272966,-0.7577048834
SRX4314271,4.2404882019,-0.1287790036,-0.3269035233
SRX4314272,4.3368349414,-0.0795415783,-0.1216392627
SRX4314275,3.0957082042,-1.177099264,-0.37660912750000003
SRX4314274,2.2213274109,-0.55940985,-0.5336133514
SRX4314273,3.0568228511,-2.4405060271,-0.4440113255
SRX4314278,3.791541533,-1.0673273311,-0.5920498177
SRX4314276,2.9391123347,-1.8752246061000002,-0.7279651359
SRX4314281,3.0002287104,-0.476118262,-0.2414796885
SRX4314279,3.4910262267,-1.1370432206,-0.4595789863
SRX4314280,3.2889884953,-1.1302608352,-0.3227264526
SRX4314284,3.3842908191,0.3853492966,-0.1018318642
SRX4314283,2.1828118808,-0.2589878863,-0.5204631684000001
SRX4314282,3.5723250309,-0.5492640601000001,-0.22244771900000002
SRX4314293,3.0674334609,-0.8453107860000001,-0.2652265131
SRX4314292,5.3082338382,-0.9528063788000001,-0.49175257710000003
SRX4314291,4.3491742944,-1.5118461777999999,-0.4736174427
SRX4314297,5.2011065258,-0.1583813979,-0.3995440058
SRX4314298,5.0864633865,-0.4744383217,-0.39390451130000004
SRX4314299,3.9382292746000003,-0.8437791339,-0.3589271888
SRX4314302,5.3427587437,-1.4054502067999999,-0.46597214330000003
SRX4314301,4.959793218,0.025075892000000002,-0.3639852873
SRX4314300,5.6175185799000005,-0.4526188759,-0.27811621880000004
SRX4314305,4.4144527581,0.2284616324,-0.0131843401
SRX4314304,4.3544371505,0.2638466423,0.27145342780000004
SRX4314303,4.2516040466,0.163744669,0.18498739660000002
SRX4314309,3.9310178008000003,-0.1330596917,-0.3766555861
SRX4314306,2.0681801412,-0.1860992817,0.0374124116
SRX4314308,0.9179404536,-0.1138955084,-0.0030449249
SRX4314307,2.0249322348,-0.1676295992,0.1860862768
SRX4314311,3.3402164467,-1.3604510767,-0.3529749097
SRX4314317,2.0149178227,0.029359349700000002,0.4192012174
SRX4314316,2.1603653732,-0.7746125055,0.4418675419
SRX4314318,4.846153279,-0.060458519100000004,0.446621058
SRX4314319,3.8188191745999998,-0.1706456224,0.38762721110000004
SRX4314331,8.3832461778,-0.4667978996,-0.017869393600000002
SRX4314330,9.0746879545,-0.4444260768,0.1078803624
SRX4314332,9.3730124248,-0.17715659420000002,0.1853305891
SRX4314335,9.988158032,-0.1492707684,-0.0398662528
SRX4314334,9.300664253,-0.6040880837,0.071696069
SRX4314333,9.470340929,-0.29046408900000004,-0.0539782424
SRX4314338,9.1663487609,-0.48120324800000003,-0.162589072
SRX4314336,9.4976336985,-0.37594236140000004,-0.0839141245
SRX4314337,8.8046444898,-0.6807939934,0.24447096210000002
SRX4314339,7.9843042592,-0.9125390935000001,-0.1891997203
SRX4314340,7.6629477690000005,-0.6691684223000001,0.07890355240000001
SRX4314341,7.8806914934000005,-0.6002402704,-0.1057555332
SRX3686762,0.6221276847,0.0539586374,-0.0158721331
SRX3686763,0.5107374177,-0.049787423000000004,-0.0097011965
SRX3686761,0.1675696701,-0.0785207373,-0.0153808181
SRX3686765,0.5645899316,-0.5490436207,-0.148865449
SRX3686769,0.18327723170000002,-0.4944223089,-0.041887685200000004
SRX3686766,0.651189792,-0.26119451650000003,0.2718844675
SRX3686768,0.3012562774,-0.2223572247,0.295709011
SRX3686764,0.8298045574,-0.48812822110000004,0.1095404646
SRX3686767,-0.37860182200000003,-0.36685362720000003,0.0183178025
SRX3686788,0.16274360300000001,0.4151013718,-0.1856891457
SRX3686791,-0.2159425784,0.4498133331,0.0883926887
SRX3686792,0.1823108245,-0.1640370861,-0.1468380797
SRX3686793,-0.6804194979,-0.22831658200000002,0.012851646000000001
SRX3686790,-0.12961178110000002,-0.2577689819,0.2348799426
SRX3686789,0.6809194299,-0.2147920549,-0.0035970518000000003
SRX3686829,3.3927741653,0.1642149447,0.1692919444
SRX3686830,4.0974328346,-0.1457413735,0.080778765
SRX3686828,3.40452147,-0.0954904886,0.0867730956
SRX3686819,2.0060367656,-0.061353875,0.3435761332
