,gene_id,database,kegg_id
2984,Rv0564c,KEGG_pathway,map01110
2988,Rv0570,KEGG_pathway,map00230
2989,Rv0570,KEGG_pathway,map00240
2990,Rv0570,KEGG_pathway,map01100
2993,Rv0573c,KEGG_pathway,map00760
2994,Rv0573c,KEGG_pathway,map01100
2996,Rv0587,KEGG_pathway,map02010
2998,Rv0588,KEGG_pathway,map02010
3000,Rv0589,KEGG_pathway,map02010
3002,Rv0591,KEGG_pathway,map02010
3004,Rv0592,KEGG_pathway,map02010
3006,Rv0593,KEGG_pathway,map02010
3008,Rv0594,KEGG_pathway,map02010
3012,Rv0620,KEGG_pathway,map00052
3013,Rv0620,KEGG_pathway,map00520
3014,Rv0620,KEGG_pathway,map01100
3016,Rv0629c,KEGG_pathway,map03440
3018,Rv0630c,KEGG_pathway,map03440
3020,Rv0631c,KEGG_pathway,map03440
3039,Rv0632c,KEGG_pathway,map00071
3040,Rv0632c,KEGG_pathway,map00280
3041,Rv0632c,KEGG_pathway,map00281
3042,Rv0632c,KEGG_pathway,map00310
3043,Rv0632c,KEGG_pathway,map00360
3044,Rv0632c,KEGG_pathway,map00362
3045,Rv0632c,KEGG_pathway,map00380
3046,Rv0632c,KEGG_pathway,map00410
3047,Rv0632c,KEGG_pathway,map00627
3048,Rv0632c,KEGG_pathway,map00640
3049,Rv0632c,KEGG_pathway,map00650
3050,Rv0632c,KEGG_pathway,map00903
3051,Rv0632c,KEGG_pathway,map00930
3052,Rv0632c,KEGG_pathway,map01100
3053,Rv0632c,KEGG_pathway,map01110
3054,Rv0632c,KEGG_pathway,map01120
3055,Rv0632c,KEGG_pathway,map01130
3056,Rv0632c,KEGG_pathway,map01212
3058,Rv0634B,KEGG_pathway,map03010
3062,Rv0638,KEGG_pathway,map02024
3063,Rv0638,KEGG_pathway,map03060
3064,Rv0638,KEGG_pathway,map03070
3066,Rv0640,KEGG_pathway,map03010
3068,Rv0641,KEGG_pathway,map03010
3074,Rv0649,KEGG_pathway,map00061
3075,Rv0649,KEGG_pathway,map00333
3076,Rv0649,KEGG_pathway,map01100
3077,Rv0649,KEGG_pathway,map01130
3078,Rv0649,KEGG_pathway,map01212
3090,Rv0650,KEGG_pathway,map00010
3091,Rv0650,KEGG_pathway,map00052
3092,Rv0650,KEGG_pathway,map00500
3093,Rv0650,KEGG_pathway,map00520
3094,Rv0650,KEGG_pathway,map00521
3095,Rv0650,KEGG_pathway,map00524
3096,Rv0650,KEGG_pathway,map01100
3097,Rv0650,KEGG_pathway,map01110
