,A,pyrR
SRX6853287,0.092290228,-0.0056601001
SRX6853286,0.29420449930000003,-0.16953795600000002
SRX6853284,0.047146501,-0.0946581947
SRX6853285,0.2586603263,0.0079414739
SRX6853283,-0.30580682730000003,0.08671672080000001
SRX4319040,0.0205011903,0.0354596771
SRX4319041,-0.0058532693,-0.0463696616
SRX4319039,-0.0146479211,0.010909984400000001
SRX4314613,0.1740247752,-0.33081551340000004
SRX4314614,-1.1609636602,0.1954619663
SRX4314615,-0.2256843308,-0.5359559146
SRX4314632,0.8797843997,-0.45549709050000003
SRX4314631,1.5389133298000002,-0.2486273847
SRX4314633,1.4302680186,-0.24062380500000002
SRX4314622,-0.22235640750000002,-0.8637504427
SRX4314623,-0.16212665480000002,-0.8211324085
SRX4314624,-0.411187069,-0.9804388192000001
SRX4314611,-0.21064434270000001,-0.1402176625
SRX4314610,0.0683781516,0.0754951183
SRX4314612,0.1422661911,0.0647225441
SRX4314630,-1.3026011742999999,-0.118735724
SRX4314628,-1.2978010309,-0.061402440700000005
SRX4314629,-1.2685590524,-0.0368351608
SRX4314619,-1.874251491,0.3112554752
SRX4314621,-1.7449042081,0.2727737504
SRX4314620,-2.0967415511,0.2900004466
SRX7119390,0.1746272805,-0.1237179251
SRX7119388,-0.1746272805,0.1237179251
SRX7119386,3.7064823632,0.2237010694
SRX7119385,3.8414884039,0.2169704817
SRX7119387,3.4338444185,0.2833933907
SRX3746749,-2.7291856445000002,1.6785573248999999
SRX3746748,-2.9549817386,0.035016893800000004
SRX3746751,-2.0252623042,-2.2419844380000002
SRX3746750,-1.2080617084,-0.9131785265000001
SRX3746752,-0.2660390332,0.1175766968
SRX3746753,-1.5248603087000001,-2.2080858051
SRX3746755,-0.0331797646,-1.1412338448
SRX3746754,0.0331797646,1.1412338448
SRX2345943,-0.7409013808,-0.0937535627
SRX2345942,0.7409013808,0.0937535627
SRX2345941,-0.38016409290000003,0.2558108088
SRX2345940,-1.8704057213,0.45251752910000004
SRX3992217,0.2759209959,-0.0720061566
SRX3992216,1.5511149609000001,-0.3157796057
SRX3992214,-0.178858501,1.170248599
SRX3992215,-0.7605494097000001,0.0352313009
SRX3992221,-0.7064219673000001,-0.1066037845
SRX3992220,0.0538636981,0.7898918398
SRX3992219,4.3999502062,0.2862070221
SRX3992218,5.4807563075,0.21001682770000002
SRX3992201,5.767789847,0.2472235664
SRX3992200,4.8674130452,0.2499091407
SRX3992198,0.5754385462,-0.2698301198
SRX3992199,1.6729315954000001,-0.3107052464
SRX3992202,0.6404419808,-0.1346695201
SRX3992203,-0.5314878954,-0.1993488596
SRX3992204,-0.8519484309,1.6800446973
SRX3992205,-1.1759996901,0.5061696867000001
SRX3992206,-0.9046272832000001,1.6981059827
SRX3992207,-1.134442558,0.5863649341
SRX3992209,4.0323303089,0.8093447300000001
SRX3992208,5.056852291,0.7745902743
SRX3992212,4.9886842584,0.7459338359000001
SRX3992213,3.8417078229,0.8613443743
SRX3992210,0.5030111281,0.0352526279
SRX3992211,-0.5030111281,-0.0352526279
SRX357084,0.1197447791,-0.0444440538
SRX357083,-0.1197447791,0.0444440538
SRX4647134,0.7393013890000001,-0.9590568239
SRX4647137,0.3487802255,-0.1939088331
SRX4647136,0.8120892423,-0.75751063
