Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Rv0037c,0.001909925494229158,0.00808280258327519,0.004342052448863502,0.014001688945218966,-0.010790412673664585,0.0018142208265795286,0.015361178732112962,-0.002533183152354208,0.006488694294469506,0.003269206358743738,-0.007873654876726937,-0.008646160465366348,-0.01678484364070781,0.0025704196382263155,-0.015216494784204709,0.003995708828628028,-0.0006232332176587418,0.016794679770293402
Rv0038,0.009703446677917274,0.002101994455736131,0.0041852517785806904,-0.013957829521821999,-0.00680216154709915,-0.007892135710460055,-0.010498886063203856,0.006767536848544821,0.0005064796839070837,-5.426232478916381e-05,-0.008100316260834768,0.007970903146202735,-0.010886850911972078,-0.022629435886626897,0.011931380116259552,-0.008210356318329198,-0.0044188123521642225,0.003326788010643942
Rv0039c,0.0034030652528766604,0.03571771408958214,-0.011213976202519866,0.0038601237217846525,0.014538434923317398,0.0063106626931334255,-0.0061014349962327605,-0.006506283610735692,-0.008475627920937864,0.011343612637239693,-0.024449059693056704,0.004156952211030705,-0.025067511470009646,-0.010899197277990868,0.002168884835879295,0.0008370985081636504,0.05519335690029446,0.003076434318094823
Rv0040c,0.00047536103814361104,0.06509191413586915,-0.01782780276157882,0.007925152628432736,0.020659108282889235,-0.01761603241480476,0.009406357032487347,-0.010850796608601486,0.005318186214719244,0.017759078876224764,0.01432869010565525,-0.04672866792218053,-0.00402520340712703,-0.010091963259467616,0.0034830085093070623,0.0024301979970313375,0.012008690145900289,-0.018410722059801966
Rv0041,0.012520758853272964,-0.0028978811914609913,0.0044148802260902615,-0.008401041047349986,-0.003937423273269889,-0.008045575364067487,-0.011912721212619942,-0.00304371272712118,-0.0018232614716434496,-0.002365629206857737,0.010130806080095674,-0.0016381498029712782,-0.00248731220602668,-0.005316431696981669,-0.01948084035655595,0.0018677288969785313,-0.01228789900323972,-0.011001020499599628
Rv0042c,0.0015319110902974249,0.03426846042868374,0.015277710273233172,-0.01378003284204245,-0.005023801547245624,-0.0052319310150768066,-0.014823129289933032,-0.0029485170098331945,-0.009471822434934279,-0.0064628368696248075,-0.01775008327457785,-0.0016304886788557548,0.00642459309943453,0.0053382993129037146,0.009220931661491807,-8.34350420002568e-05,-0.001550618506733214,-0.01603833388471253
Rv0043c,-0.0018481698303232288,-0.0012205748750522992,0.007779043287179738,-0.003404159019090223,0.008635446915419665,-0.0008260903790635739,-0.005962713669146779,-0.0014609613108800092,-0.0022467598267191177,-0.00445009057924517,0.02176627329659279,0.003472124078997673,-0.01002533166306225,0.0008994220662878567,-0.002004261348654617,-0.004488445211992189,0.01529752654543937,-0.009192747537192788
Rv0044c,0.006671159929032725,0.014062110952832975,-0.002148935063250897,-0.005002152895233619,0.008236837286802136,0.0042547799709492,-0.015165729638634547,0.0098652255566305,0.0072401597765379445,-0.006330024015703575,-0.011689621546203989,1.0576576714953445e-05,-0.007342063707340658,-0.005259709779972863,-0.0018880280404573492,-0.0167655319347865,-0.00484562133022587,-0.0016094540326758052
Rv0045c,0.00370214250884967,-0.034208747954062396,0.010872504261373926,-0.011497873717580858,0.02727646199591326,-0.00918088857762901,-0.022197995009454807,0.022744226489616007,-0.0030135751873975143,-0.011371616142498799,-0.005454688074880912,-0.03859002539982277,0.004835029071248576,0.011868036258525458,0.00617067126208359,-0.01567448363792332,0.0006875247322583634,0.014227948735578741
Rv0046c,0.005243615266054651,-0.02651752666842493,0.01685054263337427,-0.0035995177657356654,0.02036601174840151,-0.020321283626928484,-0.0013891807405901348,0.0389287807077148,0.006430151684095245,-0.002190492241843579,0.012317310162727666,-0.04074379542826355,6.262907865408753e-05,0.009757758384007626,0.01991013507077199,-0.018862827668627968,0.01248337908391069,0.012889240120645263
Rv0047c,-0.004277388974776986,-0.04693029127569802,0.012291805252134955,-0.01934687141374091,0.029243251139454716,-0.028104027804924193,0.008305772162117494,0.01889738408187274,-0.01849493321476348,-0.004458811290004071,-0.014281206834837341,-0.046090132398304944,0.026644793693298117,0.0036132207356066324,0.0211957810480171,0.013455537717821908,0.0037887562698011887,0.01681421374942213
Rv0048c,-0.008218947356632039,-0.0139195153715443,-0.007570955058690496,-0.02399192111126374,-0.00535350055643679,0.010679890815045348,-0.01006181695241868,-0.002848103567703327,-5.866500144762395e-05,-0.004641335737318081,0.0071656342956983796,-0.012241230188159154,0.030698849133968392,-0.013575193854217196,-0.00874924032048933,0.01809531648049302,-0.0007782050346909883,-0.023294079727018382
Rv0049,0.01181355364878819,0.012461178520032076,-0.004066738978067961,-0.003915647194793118,0.006113062429726737,0.0034405009929937163,0.005257892599982129,-0.0018660398396014239,0.004643444881350071,0.0021139411623267755,-0.01414402357288866,-0.010676539139589098,-0.0081092649837846,-0.018152579501019523,-0.017079047739120685,0.009754767328874493,-0.005530376972217827,0.00015145948626694005
Rv0050,0.0012015795065664658,0.004765665621890021,0.0006956479731188945,-0.004212280326125016,0.0008026349113295323,0.00622460913665606,-0.003572350008640924,-0.016424763040721664,0.006026569874764683,0.0002475932017501099,0.024736012537642363,-0.005893269583930822,-0.00048550398343569825,-0.00772748508725361,-0.015326739933571615,0.00012803222448544744,-0.021567654194161536,0.015257447881625107
Rv0051,-0.005189426948689406,0.012022375796912566,-0.004109785406816727,0.004862412918764159,-0.010354130771905992,0.010717337242836664,-0.016399691935882584,-0.029415283549589853,0.0017146512646155866,0.002407980217083823,0.01732096048888964,-0.008929471803922824,-0.00212588963392714,-0.014349039596839168,-0.009879300620785358,0.0011549149830768278,-0.015830458621386413,0.014655830893445417
