,A,Rv0576
SRX2382220,8.4635011817,1.4075692878
SRX2382222,7.937549009,1.4013900831
SRX2382030,8.2059125004,1.5778725906000002
SRX4506350,0.1080907546,0.0489932687
SRX4506352,0.3107990872,0.0373318331
SRX4506354,0.4503615573,0.0891822694
SRX4506348,-0.0185409349,0.0358708698
SRX4506346,-0.0274135357,0.0054850584
SRX4506344,0.0459544706,-0.0413559282
SRX4506351,2.3758011237,-0.0104902302
SRX4506353,2.1868911004,0.0277610181
SRX4506355,2.2964098422,0.08831730410000001
SRX4506349,2.2265841392,0.1768207431
SRX4506345,2.4910712051,0.197076615
SRX4506347,2.1522729193,0.24860142340000002
SRX4514122,-1.377854459,-0.1104282999
SRX4514124,2.5869869504,0.055960991700000004
SRX4514126,2.4770978622,0.060001339
SRX4514120,-0.6706944798000001,-0.07684836340000001
SRX4514112,-1.7377731864000001,-0.006001542800000001
SRX4514116,1.6542779215999999,-0.0369905241
SRX4514118,2.1286974821,0.1269147387
SRX4514114,-2.0452022174,-0.08392267190000001
SRX4514121,-1.4008130726,-0.1761752128
SRX4514125,2.3090893752,0.1173953846
SRX4514127,2.256581164,-0.0395209934
SRX4514123,-1.3528765076,-0.10851929240000001
SRX4514115,-1.6848562234000002,-0.1692294903
SRX4514117,1.9457293018000001,0.0595982783
SRX4514113,-1.4111328317,-0.0530487601
SRX4514119,2.3674271767,-0.045622835800000004
SRX958308,25.7406163982,-0.10076543930000001
SRX958306,16.50593098,-0.2836288252
SRX958307,28.9555300074,-0.2767155704
SRX958313,0.0931778037,0.135834495
SRX958312,-1.699595076,0.07105031070000001
SRX958314,1.6064172721999999,-0.2068848057
SRX958320,1.3446995531,0.5843145406
SRX958318,1.736964322,0.7444931902
SRX958319,2.2526513242,0.6283207378
SRX958323,11.0458391293,2.0376128257
SRX958322,9.1617635368,2.1920368355
SRX958321,9.3854321805,2.0283778762
SRX958310,-1.6965380653,0.2720577784
SRX958309,-0.33945313590000004,0.5622210763000001
SRX958311,-1.4947267499,0.1836477057
SRX958317,-2.7666435533,0.8185998582
SRX958315,-2.1322948544,0.6880778342
SRX958316,-2.1500440078,0.7925734563
SRX958324,-0.1697099024,0.4589780614
SRX958325,0.1330046111,0.4673686916
SRX4498322,0.0893441022,-0.026233340100000002
SRX4498318,-0.2528515458,0.047568951400000004
SRX4498320,0.3138814875,-0.2460845472
SRX4498316,-0.5339001228,0.19275848710000001
SRX4498312,0.1046473378,-0.0231301446
SRX4498308,-0.1355779336,-0.0703470347
SRX4498314,0.0808058539,0.1011144122
SRX4498310,-0.0498752581,-0.007637232900000001
SRX4498319,3.8076943442,0.2078801245
