,A,phoP
SRX3992207,6.4997709025,-0.264813102
SRX3992209,-5.2281307456,0.4688190206
SRX3992208,-4.8793295553,0.3518039731
SRX3992212,-4.2482946258,0.257327203
SRX3992213,-5.100497924,0.41147887710000003
SRX3992210,-0.3767025043,0.040212476000000004
SRX3992211,0.3767025043,-0.040212476000000004
SRX357084,-0.1566879427,-0.0208798519
SRX357083,0.1566879427,0.0208798519
SRX4647134,0.7826422702,0.10229477890000001
SRX4647137,0.4464934983,-0.06430147580000001
SRX4647136,0.7545898237,0.2035147773
SRX4647135,0.8566914975000001,0.1579746287
SRX4647139,-0.0159456366,-0.0066010481000000005
SRX4647141,0.0012200704,-0.09528857
SRX4647140,0.0740328193,0.0946518611
SRX4647138,-0.059307253000000004,0.007237757
SRX4647128,-2.9917990748000003,0.10626514100000001
SRX4647127,-2.9439823638,0.1305632358
SRX4647129,-3.0194239301,0.1789618007
SRX4647126,-2.780580924,0.1515087172
SRX4647133,1.1879872327,0.3102787214
SRX4647132,0.8121104227,0.32778539
SRX4647131,0.5114109196000001,0.314010977
SRX4647130,1.3272934244,0.2560307061
SRX6923924,-0.1352510564,1.0134991913
SRX6923925,0.027903925200000002,1.2815073978
SRX6923923,1.4669631277000001,0.8938018271
SRX6923922,2.1812133631,0.9229947709
SRX6923939,-0.106413108,0.0505397593
SRX6923938,0.106413108,-0.0505397593
SRX6923936,1.2868211014,-0.0174537116
SRX6923937,1.2217522525,-0.0747439314
SRX5509428,-0.018287338400000002,0.13248136870000002
SRX5509427,0.018287338400000002,-0.13248136870000002
SRX1882560,6.9612376082,-1.3759754651
SRX1882558,7.0336438531,-1.3775373406
SRX1882559,7.0761579222,-1.3036477298
SRX1882561,9.0402276054,-1.3634798485
SRX1882563,9.0424811949,-1.2867807638
SRX1882562,8.7984612483,-1.3587200915
SRX1882565,10.453383223,-1.1983134353
SRX1882566,10.7088855737,-1.3181627179
SRX1882564,10.5509125422,-1.2410653454
SRX1882568,11.9257972,-1.2741845107
SRX1882567,12.2738951247,-1.2942078622
SRX1882569,12.2970317044,-1.3462078469
SRX1882555,-0.0780173024,0.0271625352
SRX1882557,0.0891502541,-0.0014324744000000001
SRX1882556,-0.011132951700000001,-0.0257300608
SRX5088615,-1.3462179038,0.38117527640000004
SRX5088616,-2.0792608087,0.23992044070000001
SRX6845150,-2.9472894596,-0.9835517682
SRX6845149,-0.4220061319,-1.4735351215
SRX6845151,-0.6702245149,-0.1289837361
SRX6845152,-4.6364479591,0.0642001989
SRX6845145,-16.2971708251,-0.2881591705
SRX6845146,-16.8379501363,-0.1885548824
SRX6845142,6.0465914162,-0.17276960500000002
SRX6845141,6.8927169448,-0.1802463433
SRX6845144,-0.6254817574,0.0206411609
SRX6845143,0.6254817574,-0.0206411609
SRX5605051,-0.14240398540000002,0.08876754220000001
SRX5605045,0.14240398540000002,-0.08876754220000001
SRX5605060,-1.6001496495,0.40281982400000005
SRX5605059,-2.0109871425,0.5315223154000001
SRX2382017,0.4835205963,-0.0479676462
SRX2382024,-0.4835205963,0.0479676462
SRX2382027,0.0443264549,0.6642600972
SRX2382029,-0.1232801354,0.7487100999
SRX2382217,-0.9542371829,0.5377380056000001
SRX2382023,-1.0960505511,0.6356618541
SRX2382218,0.43223159800000005,-0.18810782950000002
SRX2382219,-0.41918410100000003,-0.1082795387
SRX2382213,-0.21699583220000002,0.8460740058
SRX2382019,-1.5647125892,0.6533176295
SRX2382214,-0.7177205675,-0.001631162
SRX2382215,0.8550675309,0.3673696428
SRX2382020,-0.5061365333,-0.0865215034
SRX2382216,-1.1121846866,0.33458776100000004
SRX2382022,0.42272873310000003,0.4384755782
SRX2382033,-0.6215357113000001,0.40990818560000003
SRX2382220,-10.2451283584,-0.6635720892
SRX2382222,-9.7219459606,-0.4250890067
SRX2382030,-7.2272535409,-0.9577753159
SRX4506350,-0.30933725570000004,0.052557704600000005
SRX4506352,0.0461990741,0.0160450863
SRX4506354,-0.28408914620000003,-0.095693708
SRX4506348,-0.045400917900000004,-0.0302420921
SRX4506346,0.0813581865,0.029882057700000002
SRX4506344,-0.0359572686,0.0003600344
SRX4506351,-4.1078605004,0.1733201523
SRX4506353,-3.807218117,0.1163787565
SRX4506355,-4.0139734572,0.0904622536
SRX4506349,-4.0908538529,-0.0349432131
SRX4506345,-3.9870326305,0.0485767525
SRX4506347,-3.8903613921,0.2182218349
SRX4514122,3.3949549825,-0.1748062233
SRX4514124,-3.3412839538,0.14227258880000002
SRX4514126,-3.2320129059,0.1931546355
SRX4514120,2.7787039569000003,-0.0943239991
SRX4514112,3.6692829907,-0.131139204
SRX4514116,-3.6408262359,0.1090851748
SRX4514118,-3.4206307353,0.20653336860000002
SRX4514114,3.3921739805,-0.18447933930000002
SRX4514121,3.5886377586,-0.1374006835
SRX4514125,-3.4081529456,0.0484115979
SRX4514127,-3.3647740305,0.1534164575
SRX4514123,3.4690104743,-0.1459586397
SRX4514115,3.3696903579,-0.1905696785
SRX4514117,-3.909451473,0.12807802170000002
SRX4514113,3.4570516558,-0.21228988640000002
SRX4514119,-4.0623263993,0.2097032372
SRX958308,-5.4555782329,0.4662120692
SRX958306,-4.3725469948,0.28717351280000003
SRX958307,-6.372243783,0.3107131114
